facility_code,facility_name,date,date_year,date_quarter,date_month,category,vol_treated,pct_treated_in_time,pct_variation_treated_prior_year,vol_wait,vol_long_wait,pct_waiting_in_time_total,date_last_update,vol_long_wait_RFS,vol_long_wait_NRFS,pct_waiting_in_time_RFS
211,Atherton,1/10/2015,2015,4,10,1,4,100,-56,0,0,0,6/11/2015,0,0,0
211,Atherton,1/10/2015,2015,4,10,2,10,100,-57,15,0,100,6/11/2015,0,0,100
211,Atherton,1/10/2015,2015,4,10,3,6,100,-60,20,0,100,6/11/2015,0,0,100
211,Atherton,1/10/2015,2015,4,10,ALL,20,100,-58,35,0,100,6/11/2015,0,0,100
191,Ayr,1/10/2015,2015,4,10,1,4,100,0,0,0,0,6/11/2015,0,0,0
191,Ayr,1/10/2015,2015,4,10,2,0,0,0,3,0,100,6/11/2015,0,0,100
191,Ayr,1/10/2015,2015,4,10,3,2,100,0,3,0,100,6/11/2015,0,0,100
191,Ayr,1/10/2015,2015,4,10,ALL,6,100,0,6,0,100,6/11/2015,0,0,100
41,Beaudesert,1/10/2015,2015,4,10,1,6,100,200,2,0,100,6/11/2015,0,0,100
41,Beaudesert,1/10/2015,2015,4,10,2,10,100,900,5,0,100,6/11/2015,0,0,100
41,Beaudesert,1/10/2015,2015,4,10,3,6,100,-54,25,0,100,6/11/2015,0,0,100
41,Beaudesert,1/10/2015,2015,4,10,ALL,22,100,38,32,0,100,6/11/2015,0,0,100
133,Biloela,1/10/2015,2015,4,10,1,2,100,0,0,0,0,6/11/2015,0,0,0
133,Biloela,1/10/2015,2015,4,10,2,4,100,0,0,0,0,6/11/2015,0,0,0
133,Biloela,1/10/2015,2015,4,10,3,3,100,0,1,0,100,6/11/2015,0,0,100
133,Biloela,1/10/2015,2015,4,10,ALL,9,100,0,1,0,100,6/11/2015,0,0,100
62,Bundaberg,1/10/2015,2015,4,10,1,82,100,7,44,0,100,6/11/2015,0,0,100
62,Bundaberg,1/10/2015,2015,4,10,2,83,100,-25,125,0,100,6/11/2015,0,0,100
62,Bundaberg,1/10/2015,2015,4,10,3,30,100,-9,196,0,100,6/11/2015,0,0,100
62,Bundaberg,1/10/2015,2015,4,10,ALL,195,100,-11,365,0,100,6/11/2015,0,0,100
30,Caboolture,1/10/2015,2015,4,10,1,55,100,45,57,0,100,6/11/2015,0,0,100
30,Caboolture,1/10/2015,2015,4,10,2,82,85,-13,266,3,99,6/11/2015,3,0,99
30,Caboolture,1/10/2015,2015,4,10,3,48,96,55,631,3,100,6/11/2015,2,1,100
30,Caboolture,1/10/2015,2015,4,10,ALL,185,92,14,954,6,99,6/11/2015,5,1,99
214,Cairns,1/10/2015,2015,4,10,1,212,84,-5,246,7,97,6/11/2015,4,3,97
214,Cairns,1/10/2015,2015,4,10,2,131,90,-30,511,13,98,6/11/2015,12,1,97
214,Cairns,1/10/2015,2015,4,10,3,105,100,7,916,0,100,6/11/2015,0,0,100
214,Cairns,1/10/2015,2015,4,10,ALL,448,90,-12,1673,20,99,6/11/2015,16,4,99
43,Caloundra,1/10/2015,2015,4,10,1,1,100,-97,3,0,100,6/11/2015,0,0,100
43,Caloundra,1/10/2015,2015,4,10,2,34,82,467,41,2,95,6/11/2015,2,0,91
43,Caloundra,1/10/2015,2015,4,10,3,1,100,-96,156,1,99,6/11/2015,1,0,99
43,Caloundra,1/10/2015,2015,4,10,ALL,36,83,-43,200,3,99,6/11/2015,3,0,98
112,Charleville,1/10/2015,2015,4,10,1,2,100,0,0,0,0,6/11/2015,0,0,0
112,Charleville,1/10/2015,2015,4,10,2,7,71,0,11,0,100,6/11/2015,0,0,100
112,Charleville,1/10/2015,2015,4,10,3,1,100,0,9,0,100,6/11/2015,0,0,100
112,Charleville,1/10/2015,2015,4,10,ALL,10,80,0,20,0,100,6/11/2015,0,0,100
193,Charters Towers,1/10/2015,2015,4,10,1,1,100,0,0,0,0,6/11/2015,0,0,0
193,Charters Towers,1/10/2015,2015,4,10,2,2,100,0,7,0,100,6/11/2015,0,0,100
193,Charters Towers,1/10/2015,2015,4,10,3,0,0,0,1,0,100,6/11/2015,0,0,100
193,Charters Towers,1/10/2015,2015,4,10,ALL,3,100,0,8,0,100,6/11/2015,0,0,100
91,Chinchilla,1/10/2015,2015,4,10,1,2,100,0,0,0,0,6/11/2015,0,0,0
91,Chinchilla,1/10/2015,2015,4,10,2,2,100,0,3,0,100,6/11/2015,0,0,100
91,Chinchilla,1/10/2015,2015,4,10,3,0,0,0,1,0,100,6/11/2015,0,0,100
91,Chinchilla,1/10/2015,2015,4,10,ALL,4,100,0,4,0,100,6/11/2015,0,0,100
216,Cooktown,1/10/2015,2015,4,10,1,0,0,0,0,0,0,6/11/2015,0,0,0
216,Cooktown,1/10/2015,2015,4,10,2,0,0,0,0,0,0,6/11/2015,0,0,0
216,Cooktown,1/10/2015,2015,4,10,3,0,0,0,0,0,0,6/11/2015,0,0,0
216,Cooktown,1/10/2015,2015,4,10,ALL,0,0,0,0,0,0,6/11/2015,0,0,0
92,Dalby,1/10/2015,2015,4,10,1,0,0,0,2,0,100,6/11/2015,0,0,100
92,Dalby,1/10/2015,2015,4,10,2,0,0,0,6,0,100,6/11/2015,0,0,100
92,Dalby,1/10/2015,2015,4,10,3,0,0,0,15,0,100,6/11/2015,0,0,100
92,Dalby,1/10/2015,2015,4,10,ALL,0,0,0,23,0,100,6/11/2015,0,0,100
135,Emerald,1/10/2015,2015,4,10,1,1,100,-86,1,0,100,6/11/2015,0,0,0
135,Emerald,1/10/2015,2015,4,10,2,3,100,-40,7,0,100,6/11/2015,0,0,100
135,Emerald,1/10/2015,2015,4,10,3,1,100,0,3,0,100,6/11/2015,0,0,100
135,Emerald,1/10/2015,2015,4,10,ALL,5,100,-58,11,0,100,6/11/2015,0,0,100
